content,label
Fitur aplikasinya sangat keren,2
Tidak menghargai calon driver nya 4kali bolak balik ke kantor grab Batamudah lengkap persyaratan tapi ngak bisa aktiforang ngojek sendiri yang update aplikasi tidak menghargai orang lain,0
Unconnection,2
Gk bisa pesan gojek akun katnya bermaslah lol sy hanya pengguna bkn driver yg di kasih bintang 1 dan skrng apliksi gk bisa dibuka hnya 1 detik keluar sndiri udh hapus data trus uninstal kmdian instal lagi sama saja mending hapus selama2 nya,0
Oke,2
sangat membantu,0
Mudah,2
Sangat bagus,2
y ev cz58425 xc t Exfx gawx WeeSC yg u bytlary lo,2
tetep dibutuhkan,2
Ket xgoko e suri ds,2
Tiba tiba aplikasi eror padahal gopay saya masi ada isinya  Sekarang mau download aja ngk bisa  Tolong min solusinya,0
Good,2
Angga,2
GAUSAH DI PERIBET DAH ,0
Diperbaikin bugnya masukin nomor yang udah terverifikasi akunnya aja ga bisa,0
Ok,2
Payah Masa pendaftaran dokumen untuk bisa tarik uang dah setahun gak diproses Udah dikomplain katanya 3 hari selesai eh ternyata gak ada kelanjutan Diprotes lagi gak ada tanggapan Gimana ini Makin ngacooooo Hari ini ya apps error Pesen kurir dari jam set 3 orangnya datang jam 5 Anjir lah Kasihan bapaknya tau Hadeh ngadi ngadi,0
Gojek pokoknya terbaiksaran harus pakai ini guyss jujur ini dari pengalaman ku pakai gojek selama naik grab mobil atau motor yang paling bagus pelayanannya hanya gojek Dan saya sudah genap 2 tahun pakai aplikasi ini Terimakasih untuk seluruh driver gojek Indonesia kalian terbaik,2
hthto,2
Tidak biaa log in,0
Sangat bagus dan nyaman,2
Sistemnya menyulitkan driver dapet drivernya jauh terus,0
Coba,0
Nyari restonya digojek trus mesannya pakai ojol lain yg lebih murah kalo daerahku maxim dan ojol lokal lainnya daripada gojek tambahan biayanya banyak banget padahal sdah dapat potongan dari driver resto dan ditambah lgi biaya pemesanan harga makanan dan minumannya jdi naik 50 kalo beli hanya 1 menu jadi mending cari restonya digojek pesannya pakai ojol lain yg lebih murah,0
Kagak bisa di donlod gimana sih  Apk udh gua hapusin semua Wifi lncar msh aj gk bsa,0
Nyaman dan aman,2
Oke pokoknya,2
Halah promonya gajelas Mending juga shopee food Masa diklik ga bisa,0
Uprgade ke gopay plus selalu gagal Dikarenakan ke absahan bagaimana ini,0
Saya kasih bintang 1 ya gojek karena keterlambatan nya mengatasi problem lupa nomor handphone lama Min bagaimana saya login ke akun gojek saya sedangkan nomor handphone lama saya sudah tidak aktif dan hangus saya lupa nomor yang lama nya karena sudah gak tau nomor nya kemana dan bingung sudah mau laporin tapi gak ada tanggapan yang serius Aplikasi Gojek meresahkan sekarang beda sama aplikasi sebelah lebih maju,0
Ramah banget,2
Setelah update kok nggak bisa dibuka,2
Good,2
Good,2
Sangat membantu ,2
Pakai promo gocar Drivernya pada gk mau ambil Tapi disisi drivernya juga gimana untungnya dgn harga segitu gk imbang sama bbmnya Makanya daripada mengecewakan keduanya Diilangin aja,0
Keren lah pokoknya,2
Mantab,2
Aplikasi jelek mau login aja ribet,0
Aplikasi anj telat bayar gopay katanya padahal tagihannya pas ditgl 2 feb 2024 dendanya 50 rb ga ngotak emang,0
Mudah aman,2
Daftarnya susah  parah,0
Ok,2
Keren,2
Cepat dapat Mantap,2
Lebih praktis sih lebih aman juga Aplikasinya sangat bermanfaat ,2
Pelayanan bagus,2
Sangat mudah dalam penggunaan dan aman,2
Baik,2
Mesen gofood ribet banget Harga tertera 6xxx begitu pesen harus custom minimal 2 harga malah nambah 2x lipat ga jelass ,0
Memperbudak orang dengan sebuah sistem disaat kepepet harus update dahal  5 bulan ga update bisa di skip,0
Mantap amanah,2
Udah di update sama saja gak ada bedanya Koneksi gaada padahal kuota ada,0
Pertama applikasinya sangat bagus tidak ribet dan sangat mudah penggunaannya Kedua driverbikers nya komunikatif sopan dan selalu nengutamakan keselamatan penumpang dan dirinya sendiri Ketiga tarifnya tidak mahal dan mampu bersaing dengan disebelahnya,2
Pesan gofood sekarang dapet driver nya lama bangetmohon sistem dirubah seperti dulu cari driver bisa capetpesen mode reguler kok dapet driver 30menitniat pesan biyar capet sampai ini nunggu lama bangetmohon untuk di rubah sistem nya,0
Limit gopay pinjam u penguna baru kecil sekali cuma sampai 800k,0
sudah 1 blan gopaylater dibokir sdah bayar tepat wkt jga gak bisa dipakai tapi limit ditambah penyelesaian masalah tdk ada solusi gak ada gunanya siiih,0
Gak jelas aplikasinya  tiba2 masa gojek saya gak bisa digunakan Payahh padahal saya butuh bgt,2
oke bos,2
Saldo gapay later masih banyak tetapi status diblokir tanpa pemberitahuan  Mau kasi bintang 5 ga jadi Kayak ga niat dan ga percaya kasi  Percuma dikasi tapi kita ga bisa gunakan,0
Terimakasih,2
GOJEK NGAK USAH KASIH PROMO SAMPE DISCOUNT 5000 KALAU KITA PESAN DRIVER NGAK MAU AMBILAPLIKASI BESAR TAPI TIDAK PROFESIONAL,0
Apl andalan,2
Semoga dapet bonuss banyak aamiin,2
Ini apk apa gue mau pesen makan mala eror mulu,0
Peta citra garden puri seman tolong diupdate driver sering salah jalan dan membuat tarif lebih tinggi karena mutar2,0
Mantap,2
Sudah hampir 2 tahun gopaylater di bekukan di blokir chat CS sudah gak ke hitung tetep aja akhir cuma 1 cara uninstal,2
Tiba2 saja hanya karena ganti HP gopaylater dr jaman awal transaksi hnya kena biaya 1x tnpa bunga smpai migrasi akhirnya kena bunga 1 hari sebelum ganti HP tagihan sudah di bayar penuh pdahal tgl jatuh tempo msih tanggal 1 mnggu depan,0
Kirim barang  go send Anter anter  go ride Pergi jauhan  go car Makan cepet  go food Semuuaaaa gojekin ajaaa,2
Ini kenapa habis diupdate fitur melihat voucher gofood jadi gak ada,0
Thank you semoga akun ku banyak promo gofood yang lebih besar lagi ,2
Overall membantu pergerakan saya lewat Goride atau GoCar Hanya saja driver pasti tidak mau ambil kalo pilih yang pake Gocar atau Goride hemat Padahal dengan tambahan voucher jadi meringankan sekali Bagi saya yang sering juga mengandalkan Gosend untuk bisnis Jadi percuma Sebaiknya one system aja gak usah pilih pilh kayak gitu Customer udah seneng tapi driver ndak ada yang mau ambil,2
Great,2
Supirnya mau menjawab apa yg kira tanyakan  orgnya supel,2
Jadi solusi banget saat ga ada waktu untuk keluar rumah,2
Sangat membantu,2
Respon cepat,2
Sangat membantu mudah untuk pesanya,2
Sangat bermanfaat sekali saat di butuhkan dalam keadaan urgent,2
Kenapa sih harus update lg ky mau ambil kota kita ya,2
Top,2
Tambah parah ni aplikasi jaringan ada bagustpi gagal terusktnya tidak ada sinyalaneh,0
Mantap,2
pelayanan bagus bagus,2
Terima kasih gojek,2
gila sihh beli air kelapa ijo 1 doang nunggu 30 menit mana tuh toko kelapa jarak dari rmh cuma 09km doangterus sy udh nunggu 30 menit dibatalin coba bikin orang naik darah aja mana sekarang makin ga jelas gojek kalo mau cepet sampe harus nambah ongkir ga kaya dulu satset2sumpah bukanya makin bagus malah makin buruk pelayanannya,0
Errornya gak kelarmo isi pulsa aja susahkebanyakan fiturtiba aja gak bisa pakai gopay latter buat beli pulsa padahal blm bisa di pakai buat beli token listrik,0
Ok,2
Mentew bro,2
Kebon jeruk xvii20ckel Mapharkec taman sari Jkt barat,2
Dapat driver melebihi waktu yang ditentukan terlalu lama,0
buruk sekali bagi saya menggunakan ini aplikasi sumpah sampah bgt  pesanan ga nyampe drivernya jga ga ada  kepotong saldo pula  jangan download gojek mending grab apa maxim jelas ini parah uang hilang an71ngg gojek a55uuu,0
Kecewa sama gojek sekarang apalagi gofoodny udah langganan gofood plus masih aja kena ongkir makin kesini makin gak jelas aja,0
Bagus aplikasinya,2
Gojek makin ke sini makin gila aja ni ngasih drever selalu yg jauh2 padahal drever yg dekat banyak Mikir lah drever beli bensin pake duit sendiri kasian kan klo jemputnya jauh Emang cara berpikir kalian itu seperti apa Ko selalu dikasih drever yg jauh2 beda dgn grab,0
Oke,2
Mantap,2
Dpt limit gopaylater tp ga bisa dipake ada notif gopay payletter diblokir ,0
Sikap driver sabar dalam akurasi pengiriman alamat pelanggan go food,2
Gimana cara nya TF tapi lupa pin Sama nomor telepon sudah kadaluarsa bagaimana cara nyaaaa semoga di balas,0
Good,2
Udah update sampe tak install berkali tetep gabisa dibuka,0
Sangat membantu sekali kalo lagi hujan mager mendadak ada tamu dsb,2
Alhamdulillahbisa diandalkan dlm kondisi apapunbaik gojek n gofoodnya,2
BagusMbatu Terima aksih,2
Sangat membantu,2
Sanjay membatu,0
Ok,2
Sangat membantu,2
jos,2
Gojek Sigap Cepat Aman n Nyaman,2
Shiiip,2
kerenn,2
Saduuuuuuuuuuu,2
Kenapa pas ufdate ga bisa di buka,0
Mantap kasih tiap bulan donk promosi nya heheh,2
Pake Gojek mau kemana pun jadi mudahsemoga lacar terussss,2
Jelek banget sekarang aplikasinya Ga bisa ajukan GoPaylater lagi apalagi GoPinjam Dulu padahal sudah pernah dapat gopaylater Jadi 1 bintang saja Menghabiskan waktu aja ini kita suruh nunggu Udah nunggu pas coba ehh ditolak lagi Siapa lu,0
Saya puas memakai gopay setelah 2 minggi sy merasa kecewa karna topuap dr indomaret uang g tau ke mna mask nya kata nya ada di tabungan jago setelah sy cek g adasy email chat complin g ada tanggapan,0
Mudah dan cepat,2
Mantap,2
Jangan terlalu sering minta update Setelah diupdate ternyata nggak ada perubahan Makan memori doang,0
Setiap pembelian melalui gofood selalu lama kendala makan sudah disiapka Tp driver sampai 1jam gak dpt2 Pesanan tdk bs dibatalkan karena alasan pesanan sdh masuk resto jd harus menunggu yg batalkan dari pihak anda Sangat2 mengecewakan Ajng bngt,0
watwetcak cek,2
Bagus sekali,2
mantap,2
Good App,2
Lumayan sering ada promo untuk gofood,2
Bagus sangat membantu,2
Bv 0130 terbangun H7tgzjp,0
2 dulu karena Sudak ke sekian puluh kalinya update ke gopay plus gagal padahal sebelumya udah plus mau diupgrade gopay plus terbaru malah kembali ke premium pusing padahal aku gunakan untuk layanan goparter akujadi kacau balau akun goparter aku,0
Saya ada pengajuan pijan di gopay pinjam semua data yang di minta sudah saya masukan tapi pengajuan di tolak sebenar nya ga masalah saya malah senang dgn di tolak nya pengajuan saya tapi tolong dgn sangat untuk pihak gopaypinjam tolong hapus semua data yg sudah saya kirim kan,0
Biaya penanganan maksdnya apa aku mo pesan minuman di gofood kena biaya penanganan 29 rb Padahal Minumannya cuma 22 rb,0
Mantap,2
Great Application,2
mantap pakai gojek dan gocar sering promoTerima kasih GojekGocar,2
Lancar saja,2
Jujur  klo urusan ojek online  gojek the Best dari kecepatan  keramahan  kerapihan pakaian  sama attitude yang paling penting oke banget deh gojek ,2
Kenapa setelah diupdate berulang kali tidak direspon saat dibuka ,0
Status pesanan gofood stuck udah coba pakai wifi  data sama aja padahal internet lancar buat youtube dll udah coba restart hp sama aja aplikasi udah terbaru chat cs yg jawab bot sangat tidak recommended ini udah lewat estimasi loh hampir 1 jam nunggu dari estimasi 28 menit,0
Mantap selalu berikan terbaik buat pelanggan,2
Bagus,2
Aplikasi taiiii mw masuk aja susah bngat kya kontoooolll,0
Smoga kedepannya bisa lebih baik lagisukses,2
Mantab,2
Langganan n potongan or discountnya mayaan buat order2 kpepet,2
Satsetsatset,2
Driver gocarnya gblk,0
Bagus,2
Bagus,2
Suka banyak promo,2
Masa titik jemput gocar selalu ngaco padahal sdh sesuai titik sampai saya sudah share lokasi masa bisa jemput ny sampai jauh banget dari titik  tol diperbaiki bikin driver dan saya susah saja Maaf saya ksh bintang 1,0
Sejauh ini selama saya menggunakan aplikasi ini tidak ada masalah baik itu saat memesan tranportasi online maupun memesan makanan,2
Ok,2
Ok,2
mohon maaf iklanya dikurangi,0
Gopaylater kena blokir hahah,2
Setres Setelah update makin parah,0
Sangat tidak suka,0
Gimana nih aplikasi kok parah Nyuruh di update setelah di turuti update sekarang g bisa terkoneksiparah,2
Mantaap,2
Sangat membantu,2
Tarifnya jangan makin mahal donk ,2
kenapa setelah di update malah tidak bisa pakai fitur go pay,0
Aplikasi yang terkadang sangat di butuhkan,2
Terima kasih saya sangat terbantu sekali,2
Makin lama sekarang gofoodnya kayanya udah g secepat dulu ditambah ada option tambahan mau express atau reguler macem2 ajah yg reguler hampir sejam keburu dingin yg paling utama keburu laper,0
aplikasinya keluar sendiri padahal udah di update udah di uninstal terus di instal ulang tapi tetep kek begitu jelek nih aplikasi,0
Good job,2
Gojek memang the best ,2
Mantappp,2
Ahayde,2
Saya transfer uang dari gopay ke bank tertera sudah terkirim tapi belum masuk ke rekening mohon untuk konfirmasi dan tindak lanjutnya,0
BURUK,0
Lagi lagi terjadi gopay gua ilang lagi baru juga gua top up dan gua tinggal seharian blm gua beli in apa apa tadi gua top up saldo gopay 350k sekarang pas gua mah beli barang di online shop pas liat saldo tinggal 229k ga tau dah tuh ilang berapa males ngitung gua udh dua kali kehilangan uang yang pertama udh gua ikhlas kan dan yang ini udh ke 2 kali nya dah lah gua jadi males nyimpen duit banyak di gopay mending di dana sekian gua kecewa sama apk ini ,0
Terima kasih sudah antar dan jemput,2
Mohon di tingkatkan LG sistemnya,2
Aplikasi yg TDK mau menerima keluhan customernya mau laporan dipersulit Aplikasi sampah,0
Edit Jaringan bagus aplikasi sudah versi terbaru namun masih error untuk pemesanan gojek bisa namun untuk gofood tidak bisa tertulis error gps saya sudab aktif Sama kadang kalp agak jauhan muncul location not serviceable nah ini tolong di perluas lg jangkauan ny Gojek bisa knp gofood nggak,0
Bermanfaat sekali,2
Ok,2
Apaan dah pesen gofood biaya layanan sampe 30rb pdhl ongkir dibawah 15k an,0
Aplikasi terbaik,2
Bagus  top,2
Membantu banget pokonya,2
Sementara aman terkendali,2
Oke langsung saja gass,2
joseee,2
Maps digojek eror gajelas kasihan bapak Drivernya,0
Selalu puas sm gojek Semoga makin bagus lg kedepannya,2
Untuk aplikasi gojek diperingan dong untuk android lollipop Os versi 5,0
Tidak bisa di batalin klo order gofood Sat Knapa skrang lama bgt si gofood nya Psen makan aja satu setengah jam Tolong lah gojek perbaiki lagi jgan lama bgt ky gini kburu lapernya ilang tlol,0
Mayan berguna,2
stelah d perbarui aplikasinya kenapa jd bobrok bukan tambah d perbaiki kok malah gak bs buka trs resard ulang trus,0
Aplikasi yang sangat bagus mau apa aja lengkap mulai dari makanan tranportasi sampai pindahan kost juga ada tersedia mobil nya pokoknya gojek luar biasa,2
Ngbantu sekali,2
APLIKASI GK KEPAKE ,0
Knpa saya bayar gopinjam tapi tidak kepotong tagihan nya padahal di BCA nya berhasil,0
Sangat terbantu,2
susah banget dapet driver kalo gosend pake samday tolong hapus aja opsi pengiriman samday nya driver pada males ngambil orderan,0
Recommended aplikasi,2
Sangat baik,2
Baik,2
mntaap lanjutkan promonya,2
bagus dan profesional,2
Bisa tidak iklan ny gojek ini di lakukan saja si aplikasi GOJEK setiap buka WA iklan nya selalu lewat mebuat saya tidak nyaman  di aplikasi lain juga setiap di buka selalu masuk iklan GOFOOD,0
Kenapa habis diupred kk malah gk bisa dibuka,0
Sangat mudah dalam penggunaan,2
bagus,2
gak adil banget jek gw sering order gk pernah dikasih vocer kalaupun dikasih vocer itu pun gk masuk akal harus belanja diatas 100k baru dpt potongan 30k  herannya kawan yg jarang order malah sering dikasih vocer potongan 50 bahkan 70 gk recomend banget jekSUMPAH ,0
Welcome back  berharap GoJek konsisten dan bisalebih diperhatikan pelanggang lama,2
Goride nggak ada promo ya Apasih kode prominyab,0
Sip dan bagus,2
Good,2
Sejauh ini nyaman  aman pakai gojek walaupun apk suka minta diupdate huhuh tp baguss ko luv ,2
Mantap,2
Tepat waktu dan cepat,2
Mantap,2
gojek maikin parahtitik lokasi maps dimana GPS dimana gak sesuai tolong lebih diperhatikan,0
Setelah update hp kentang yang kyk punya aku gak bisa pake gojek lg keluar sendiri,0
Mohon kongirmasinya buat gojek iniknp pas udh di update tapi malah semakin rusak tiap x buka aplk ny malah ga bisajd kecewa sekrang ini,0
Aplikasi degan tarif mahalmasih mending maxim harga murahsaya klo transportasi pk maxim doang,0
Pesen gofood udah ga ti driver otomatis tiga kali terus dibatalin sistem Padahal udah nunggu hampir sejam Gak ada solusi lain apa selain ngerugiin customer,2
gopay later saya malah di blokir padahal saya selalu bayar sebelum jatuh tempo parah bener,0
Good job,2
Sat set sat set cepat,2
Mudah mengerti,2
Aplikasi tolol daftar paylater udah lama dari limit 500rb sampe 5jt sekarang gapernah telat bayar selalu transaksi pakai gopaylater pas mau beli pulsa malah DIBLOKIR gopaylater saya padahal cuma mau beli pulsa saya gapernah telat bayar BELI PULSA DOANG DIBLOKIR EMANG DASAR APLIKASI SAMPAH TOLOL IDIOT MASIH ADA TAGIHAN GOPAYLATER 90RB TADINYA MAU SAYA BAYAR CUMA UDAH DI BLOKIR GITU MALES AMAT GUA BAYAR BODOAMAT KAGA BAKALAN GUA BAYAR SUMPAH,0
Ini kenapa ya setelah saya update saya enggak dapat cash back padahal udah pakai promo Saya beli paket data Rp 100000 dan promo dapat cashback Rp 11000 tapi ga masuk cashback nya kenapa gitu ya,2
Maksudmu opo cak ngomong kangen nak pipiii,0
Ok,2
Ok,2
sangat membantu,2
Woiii ini knp anj banyak banget iklanya mau masuk aplikasi apapun itu ada iklan aplikasi GOJEK bab,0
Ulasan di ganti  paylater tidak berfungsi,0
Gojek apaan dahtadi waktu milih promo masih ada giliran udah ditop up tiba promo hangus Gajelas bgt,0
Keren,2
Nuhun,2
Kok gada mode pilihan pembayaran lain cuma gopay ama tunai ajh,0
Akun saya saldo gopaynya hilang Saya ngk ada bikin pesananjam 0100 pas sore saya buka akun gojek buat bayar belanjaan di alfa Ternyata saldo saya udah berkurang aja 30rb pesan gojekini bukan soal nominal tapi caranya apa apan kayak gini Saya ngak terima Pengiriman ke ewallet juga LAMA saya sudah menunggu satu hari Dan bayar 2x ke penjual Ini APK ga punya customer service apa bagaimana Beda sama ewallet terbaik lainnya,0
Penjemputannya kadanglama kadangcepet kendalanya cuma pada waktu pagi aja terkadang susah mendapatkan gojek skalinya dapet lama penjemputannya,2
GOJEK nya ramahdari mulai penjemputan  sampai tempat tujuanpemilihan rute sangat baiksikap drivernya sopanpokoknya,2
Abis di upgrade malah gak bisa pake gotransit nya payahhh,0
Ok,2
Bagus Bisa Pesan Antar Ke Alamat Berbeda,2
Sangat terbantu untuk belanja,2
aplikasi mau bankrut bikin draver sengsara,0
Mantap terbantu sekali,2
Sya puas pke gojek tolong utung para dever klo ad promo d ambil jngan bilang promonya abis karna ongkosnya murah,2
Makin hari makin kacau,0
bintang berbicara,2
Jos Gandos,2
Sudah didownload malah dowload ulang lagipasnya didownload lamaaa sekali bahkan berulang ulang didownloaditu kenpa yah min ,0
Sangat baik,2
Nice,2
Sangat membatu sekali,2
sngt membantu,2
eror gak bisa di buka,0
Sangat membantu mobilitas orang,2
Mantap,2
sejauh ini masih puas makai gojek untuk semua keperluan,2
bermanfaat,2
Bagus dan cepat,2
kenapa gopaylater saya tidak bisa digunakan dan ada tulisannya diblokir padahal limit masih ada dan tagihan terakhir pun sudah saya lunasi dulu tidak pernah begini semenjak beralih ke MAB pun denda telat bayarnya naik drastis sehari 50ribu makin aneh aja,0
aplikasi ini membantu banget saat aku lagi gaada transportasi,2
Driver gojeknya ga tau haluan lalu lintasga ramahga sabaransuka nerobos malah nyenggol anak SMK,0
Bagus kl sdh muncul aplikasinya namun utk munculnya kadang sulit,2
rubah rating gara2 sistem gopay ngaco parah,0
Cepet dapetnya,2
Mantap,2
baik,2
Ko setiap mau buka aplikasinya keluar sendiri terus ya Udah coba install ulang juga tetep sama keluar sendiri terus Aplikasi jadi tidak bisa digunakan,0
Mantap,2
Apk tolol masa engga bisa ngojek di lokadi gw tolol banget,0
Sangat membantu,2
Sangat ramah baik,2
Gojek ok sekali,2
Promo kurang and terlalu mahal,0
Susah banget dapet driver kalo lagi ujan Padahal di depan mata sendiri drivernya lagi pada nongkrong,0
Good job,2
Mangkin di update mangkin gk jelas limit gopay letter tersedia tp di blokir apk aneh sebelum di update malah aman aja,0
Good application,2
Oke mantul,2
Sangat membantu terimakasih,2
Mantap brooo,2
Azzam,2
Banyak promonyaaa,2
Ada pengalaman dapet driver sombong dan kasar kronologi mesan grabcar kebetulan malem itu abis hujan jadi jalanan kotor dan becek pas driver sampe di lokasi penjemputan ponakan saya buka pintu depan dan masuk kemudian driver dengan nada tinggi bilang ke ponakan saya kaki kamu kotor mobil saya bersih sambil tangannya membersihkan bangku yang tadinya sudah diduduki ponakan saya Akhirnya kami tidak jadi naik mobil driver itu walaupun statusnya sudah dalam perjalanan dan uang sudah di driver,0
Lumayan Promonya cuman saya sedikt yaa,2
Make everything easyerniceworkespecially the goCar,2
Good,2
Pesen go food sama driver dicancel mulu udh 3 kali heran deh pelayanan go food lama banget mentang mentang diskon Kalo dibandingin mending dishope food sih mahal dikit tp driver ny gercep,0
Parah di pesan gak ada yang mau satupun,0
Selama saya pakai selalu tepat waktu jemput Cuma titik jemputnya agak susah menentu kan lokasi sendiri ,2
Good apk,2
Sangat membantu pada saat kelaparan,2
Saya harus menghapus banyak permainan untuk ini tapi tetap tidak bisa didonwload emg semahal itu kah,0
Tolong lh diatur kehidupan drivers,2
Aplikasi yg sangat membantu,2
Mantap,2
Mantap,2
Bagus keren keren,2
Bagus terima kasih,2
Ramah dan nyaman,2
Aplikasi yg simple dan mudah digunakan,2
Setahun ini Gojek tidak memuaskan ,0
Kami mendeteksi pemakaian yang tidak biasa Kenapa dengan aplikasi gojek di hp sy Dari terahir tahun 2022 selalu begitu sampai saya hapus aplikasi gojek karena tidak bisa di gunakan dan saya beralih ke yang lain Sekarang saya download lagimasih tetap sama KAMI MENDETEKSI PEMAKAIAN YANG TIDAK BIASA Begitu terus dari tahun 2022 sampai sekarang Kenapa,0
Sangat membantu sekalii  baik gojek gofood gocarr ,2
Gofood ini semakin lama semakin susah dpt driver sampe berjam2 g dpt2 pdhl udah pilih yg paling mahal kirimnya tetep aja g dpt restonya maka ga sampe sekilo terpaksa batalin terus karna ga tau mau sampai kapan nunggu dpt drivernya,0
Ayo download Grab,2
Sukses selau gojak,2
So far so good Keep up the good work,2
Gojek Sangat bermanfaat dan membantu,2
kurirnya bertanggungjawab menjalankan tugasnya hujanhujan tetap diantar Terima kasih untuk pelayanannya,2
Fitur penjemputan tidak bisa aplikasi rusak,0
Nikmati songkolo begadang bersama Gojek,0
Untuk saat ini kenapa Gopay Later nya tidak bisa digunakan ya,2
Bagus bgtt,2
Bagus tapi tolong ongkir nay jan ke 100,2
permisi min tolong adain fitur rute didalam rumah dong kayak tolong ambilin remot dibawah trs dianterin keatas mohon ya min terimakasih,2
Sangat kecewa pas hujan nggak mau ambil orderan,0
Good,2
Temen ku top up kena refund tanpa alasan,0
